2018-12-23 13:01:51;2018-12-23 13:03:24;350;195
2018-12-23 15:26:03;2018-12-23 15:26:46;350;262.5
2018-12-23 15:27:06;2018-12-23 15:27:48;350;230.5
2019-01-24 14:04:21;2019-01-24 14:05:45;500;365.5
2019-01-24 14:06:05;2019-01-24 14:07:07;500;418.6666666666667
2019-01-24 14:13:00;2019-01-24 14:13:44;600;348.5
2019-01-24 14:16:42;2019-01-24 14:19:31;700;303.375
2019-01-24 16:47:09;2019-01-24 16:49:55;700;462.25
2019-01-24 16:53:15;2019-01-24 16:55:59;700;584.125
2019-01-24 23:07:32;2019-01-24 23:10:02;600;283.2857142857143
2019-01-24 23:10:22;2019-01-24 23:12:28;600;315.6666666666667
2019-01-24 23:14:11;2019-01-24 23:15:56;600;252
2019-01-24 23:33:42;2019-01-24 23:44:50;600;70.27586206896552
2019-01-25 00:04:34;2019-01-25 00:24:31;600;71.21052631578948
2019-01-25 18:12:02;2019-01-25 18:55:40;600;150.1219512195122
2019-01-25 18:57:41;2019-01-25 19:02:44;600;352
2019-01-25 19:04:45;2019-01-25 19:07:47;600;436
2019-01-25 19:08:47;2019-01-25 19:13:51;600;386.6
2019-01-25 21:21:55;2019-01-25 21:23:17;600;396
2019-01-25 21:26:25;2019-01-25 21:27:48;600;341
2019-01-25 21:30:40;2019-01-25 21:32:02;600;337.5
2019-01-25 21:36:08;2019-01-25 21:37:30;600;480
2019-01-25 21:39:48;2019-01-25 21:41:15;600;339
2019-01-25 21:50:05;2019-01-25 21:51:26;600;453.5
2019-01-25 21:53:52;2019-01-25 21:54:33;600;381
2019-01-25 21:56:55;2019-01-25 21:58:18;600;222.5
2019-01-25 22:08:27;2019-01-25 22:09:08;400;287
2019-01-25 22:14:26;2019-01-25 22:22:42;600;193
2019-01-25 22:23:42;2019-01-25 22:25:44;600;232.5
2019-01-25 22:26:45;2019-01-25 22:30:47;600;478.75
2019-01-25 22:44:36;2019-01-25 22:45:38;400;367
2019-01-25 22:47:31;2019-01-25 22:57:11;600;426.63157894736844
2019-01-25 23:07:00;2019-01-25 23:07:44;600;206.5
2019-01-25 23:10:54;2019-01-25 23:18:00;600;374.14285714285717
2019-01-25 23:19:00;2019-01-25 23:23:03;600;317
2019-01-25 23:24:04;2019-01-25 23:30:10;600;199.33333333333334
